ranking,municipio,uf,area urbana km²
415,União da Vitória,Paraná,22.3538
416,Patrocínio,Minas Gerais,22.3492
417,Triunfo,Rio Grande do Sul,22.327
418,Goianésia,Goiás,22.2854
419,Franco da Rocha,São Paulo,22.1636
420,Maravilha,Alagoas,22.1453
421,Porto Feliz,São Paulo,22.0612
422,Beberibe,Ceará,22.0407
423,Araçoiaba da Serra,São Paulo,22.0261
424,Marituba,Pará,21.9357
425,Araquari,Santa Catarina,21.7632
426,Russas,Ceará,21.7333
427,Marechal Cândido Rondon,Paraná,21.6455
428,São José de Mipibu,Rio Grande do Norte,21.6176
429,Caçador,Santa Catarina,21.6114
430,Três Corações,Minas Gerais,21.5644
431,Biguaçu,Santa Catarina,21.5415
432,Guaratuba,Paraná,21.5353
433,Japeri,Rio de Janeiro,21.486
434,Cristalina,Goiás,21.4763
435,Colatina,Espírito Santo,21.4051
436,Palmeira dos Índios,Alagoas,21.3853
437,Serrinha,Bahia,21.3642
438,Itabirito,Minas Gerais,21.3109
439,Amparo,São Paulo,21.3069
440,Bebedouro,São Paulo,21.2908
441,João Monlevade,Minas Gerais,21.2747
442,Nísia Floresta,Rio Grande do Norte,21.2663
443,Vespasiano,Minas Gerais,21.1769
444,Benevides,Pará,21.1263
445,Alexânia,Goiás,21.0877
446,Itapoá,Santa Catarina,21.0397
447,Campo Bom,Rio Grande do Sul,20.997
448,Telêmaco Borba,Paraná,20.9576
449,Ubá,Minas Gerais,20.7649
450,Bacabal,Maranhão,20.7589
451,Cajamar,São Paulo,20.6623
452,São João da Barra,Rio de Janeiro,20.6428
453,Santo Antônio da Patrulha,Rio Grande do Sul,20.6402
454,Barbalha,Ceará,20.6395
455,Socorro,São Paulo,20.6347
456,Itabaiana,Sergipe,20.6268
457,Irecê,Bahia,20.6004
458,Tucuruí,Pará,20.5742
459,Moju,Pará,20.5046
460,Lençóis Paulista,São Paulo,20.4835
461,Itapeva,São Paulo,20.4743
462,Xangri-lá,Rio Grande do Sul,20.4583
463,Jacobina,Bahia,20.3857
464,Juatuba,Minas Gerais,20.2933
465,Matinhos,Paraná,20.2637
466,Barra do Piraí,Rio de Janeiro,20.2545
467,Unaí,Minas Gerais,20.1763
